state_code,state,lga_name,serviceProviders,CondomDistribution,FamilyLifeAndHivAidsEducationFlheSexualityEducation,GenderAndHumanRightsGhr,HarmReductionMedicationAssistedTreatmentMat,HarmReductionNeedleAndSyringeExchange,HivSelfTestingHivst,HivTestingServicesHts,MentalHealthServices,Pre.ExposureProphylaxisPrep,SocialAndBehaviourChangeCommunicationSbcc,StiScreeningAndTreatment,TechnicalAssistanceTa,agywInSchool,agywOutOfSchool,abymInSchool,abymOutOfSchool,childrenLivingWithHIV,generalPopulation,hivExposedInfants,idp,kpFsw,kpMsm,kpPeopleInEnclosedSettings,kpPwid,kpTransgender,ovc,parents,peopleLivingWithDisabilities,plhiv,serodiscordantCouples,teachers,faithLeaders,fishermen,pastoralists,transportWorkers,community,school,facility,PreExposureProphylaxisPrep
AB,Abia,Aba North,9,8,9,9,4,9,9,9,9,0,8,9,9,7,6,5,4,4,5,4,2,6,5,4,5,3,5,3,3,6,4,1,2,2,1,2,9,6,6,9
AB,Abia,Aba South,9,8,9,9,5,9,9,9,9,0,8,9,9,8,7,6,5,4,6,5,2,5,5,4,6,3,6,4,4,7,4,2,3,2,1,3,9,7,7,9
AB,Abia,Arochukwu,7,7,7,7,4,7,7,7,7,9,7,7,7,5,5,3,3,3,4,4,2,5,6,5,5,3,4,3,3,5,3,2,3,2,1,3,7,5,6,6
AB,Abia,Bende,9,9,9,9,6,9,9,9,9,0,8,9,9,5,7,4,5,3,7,5,2,4,5,4,5,3,5,5,4,6,2,4,4,2,2,5,9,5,7,7
AB,Abia,Ikwuano,9,7,9,9,4,9,6,9,9,0,9,9,9,7,5,5,4,3,5,4,2,6,5,4,5,3,6,4,3,6,3,3,3,2,2,4,9,7,7,6
AB,Abia,Isiala-Ngwa North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,Abia,Isiala-Ngwa South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,Abia,Isuikwuato,5,5,5,5,5,5,5,5,5,0,5,5,5,4,5,3,3,2,4,3,2,3,3,3,4,3,3,2,2,3,2,2,2,2,2,3,5,4,5,5
AB,Abia,Obingwa,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,Abia,Ohafia,8,8,8,8,7,8,8,8,8,0,8,8,8,6,8,5,6,5,7,5,3,4,5,5,5,4,6,5,5,6,4,4,5,2,3,5,8,5,8,7
AB,Abia,Osisioma Ngwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,Abia,Ugwunagbo,3,3,3,3,3,3,3,3,3,9,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3
AB,Abia,Ukwa East,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,4,3,5,4,2,3,3,3,4,3,5,4,4,5,3,3,4,2,2,3,5,4,5,5
AB,Abia,Ukwa West,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,2,3,2,1,2,2,1,1,3,3,3,3
AB,Abia,Umuahia North,13,11,13,13,7,13,9,13,13,0,12,13,13,10,10,8,9,8,10,7,3,7,7,6,6,5,11,8,7,10,5,6,6,3,2,5,13,9,11,8
AB,Abia,Umuahia South,10,8,10,10,5,10,6,10,10,0,9,10,10,8,7,7,6,5,7,4,2,6,5,4,5,4,8,5,4,7,4,4,4,2,2,4,10,8,8,7
AB,Abia,Umu-Nneochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Demsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Fufore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Ganye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Guyuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Gombi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Girei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Hong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
