"state","serviceProviders","CondomDistribution","FamilyLifeAndHivAidsEducationFlheSexualityEducation","GenderAndHumanRightsGhr","HarmReductionMedicationAssistedTreatmentMat","HarmReductionNeedleAndSyringeExchange","HivSelfTestingHivst","HivTestingServicesHts","MentalHealthServices","PreExposureProphylaxisPrep","SocialAndBehaviourChangeCommunicationSbcc","StiScreeningAndTreatment","TechnicalAssistanceTa","agywInSchool","agywOutOfSchool","abymInSchool","abymOutOfSchool","childrenLivingWithHIV","generalPopulation","hivExposedInfants","idp","kpFsw","kpMsm","kpPeopleInEnclosedSettings","kpPwid","kpTransgender","ovc","parents","peopleLivingWithDisabilities","plhiv","serodiscordantCouples","teachers","faithLeaders","fishermen","pastoralists","transportWorkers","community","facility","school"
"Abia",20,17,18,20,0,9,16,19,11,14,18,14,13,14,14,11,13,10,15,9,3,9,8,7,8,5,14,12,10,15,7,8,8,3,3,9,19,20,16
"Adamawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akwa Ibom",12,11,9,12,0,8,10,11,9,11,11,9,10,3,4,3,4,4,5,3,1,3,1,2,5,1,5,4,2,4,1,3,3,2,1,5,11,11,4
"Anambra",14,12,12,14,0,7,11,13,7,8,10,12,10,7,7,7,6,8,7,6,3,8,7,5,7,5,5,6,4,7,5,3,3,0,1,5,14,13,7
"Bauchi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bayelsa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Borno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cross River",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ebonyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edo",31,18,18,19,0,10,14,18,11,10,15,13,11,8,7,7,7,7,12,7,5,9,8,6,8,6,7,8,4,12,5,5,4,3,4,6,18,18,9
"Ekiti",14,14,11,14,0,11,12,14,8,10,11,9,10,6,8,6,6,8,12,8,6,8,10,5,7,4,7,10,8,9,7,8,6,4,5,8,14,12,8
"Enugu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Federal Capital Territory",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gombe",7,7,6,7,0,4,7,7,3,6,7,7,4,1,1,1,1,2,3,1,2,3,3,1,5,3,2,1,1,3,1,2,0,0,0,2,7,7,2
"Imo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jigawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kaduna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kano",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Katsina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kebbi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kogi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kwara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagos",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1
"Nasarawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ogun",19,18,18,19,0,6,14,19,7,8,18,12,12,13,13,11,10,10,19,6,3,8,7,3,6,5,15,11,6,10,5,7,1,0,1,1,18,19,15
"Ondo",57,53,45,56,0,30,49,55,38,44,44,49,37,16,19,16,17,16,25,12,5,21,17,16,25,13,19,21,12,19,10,16,16,8,8,14,54,54,21
"Osun",8,8,7,8,0,4,8,8,7,8,7,8,6,3,3,3,3,2,4,3,1,3,3,1,2,1,2,2,2,3,2,1,0,0,0,1,8,8,4
"Oyo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plateau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rivers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sokoto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taraba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yobe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zamfara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",0,159,145,170,0,90,142,165,102,120,142,134,114,71,77,66,68,67,103,55,30,73,65,47,74,44,77,76,49,83,44,53,42,20,23,51,164,163,87
